First Name,Last Name,URL,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BABIP,BB%,K%,wOBA,XBH%
Nolan,Arenado,https://www.baseball-reference.com/register/player.fcgi?id=arenad001nol,AA,COL,134,573,516,55,147,36,1,12,56,0,2,39,58,0.285,0.337,0.428,0.766,221,18,7,1,10,5,0.320,6.81,10.12,0.325,9.50
Kris,Bryant,https://www.baseball-reference.com/players/b/bryankr01.shtml,AA-AAA,CHC,138,594,492,118,160,34,1,43,110,15,4,86,162,0.325,0.438,0.661,1.098,325,4,14,0,2,8,0.550,14.48,27.27,0.450,15.85
,,,AAA,CHC,70,297,244,57,72,14,1,21,52,7,2,43,85,0.295,0.418,0.619,1.036,151,1,9,0,1,4,0.511,14.48,28.62,0.427,14.75
,,,AA,CHC,68,297,248,61,88,20,0,22,58,8,2,43,77,0.355,0.458,0.702,1.16,174,3,5,0,1,4,0.587,14.48,25.93,0.472,16.94
Francisco ,Lindor,https://www.baseball-reference.com/register/player.fcgi?id=lindor000fra,AA-AAA,CLE,126,567,507,75,140,16,4,11,62,28,16,49,97,0.276,0.338,0.389,0.727,197,14,1,5,5,1,0.337,8.64,17.11,0.314,6.11
,,,AAA,CLE,38,180,165,24,45,4,0,5,14,3,7,9,36,0.273,0.307,0.388,0.695,64,3,0,4,2,1,0.357,5.00,20.00,0.296,5.45
,,,AA,CLE,88,387,342,51,95,12,4,6,48,25,9,40,61,0.278,0.352,0.389,0.741,133,11,1,1,3,0,0.327,10.34,15.76,0.322,6.43
Christian,Yelich,https://www.baseball-reference.com/register/player.fcgi?id=yelich001chr,A+-Rk,MIA,107,451,401,76,132,29,5,12,48,20,6,49,85,0.329,0.402,0.516,0.918,207,10,0,1,0,2,0.418,10.86,18.85,0.389,11.47
,,,A+,MIA,106,447,397,76,131,29,5,12,48,20,6,49,85,0.33,0.404,0.519,0.922,206,10,0,1,0,2,0.420,10.96,19.02,0.390,11.59
,,,Rk,MIA,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0.250,0.00,0.00,0.218,0.00
Trevor,Story,https://www.baseball-reference.com/register/player.fcgi?id=story-000tre,AAA-AA,COL,130,575,512,83,143,40,10,20,80,22,3,51,141,0.279,0.35,0.514,0.863,263,1,7,0,5,3,0.374,8.87,24.52,0.359,13.67
,,,AAA,COL,61,275,256,37,71,20,4,10,40,7,1,16,68,0.277,0.324,0.504,0.828,129,1,2,0,1,1,0.374,5.82,24.73,0.344,13.28
,,,AA,COL,69,300,256,46,72,20,6,10,40,15,2,35,73,0.281,0.373,0.523,0.897,134,0,5,0,4,2,0.373,11.67,24.33,0.373,14.06
Xander,Bogearts,https://www.baseball-reference.com/register/player.fcgi?id=bogaer001xan,AAA-AA,BOS,116,515,444,72,132,23,6,15,67,7,3,63,95,0.297,0.388,0.477,0.865,212,12,4,2,2,1,0.375,12.23,18.45,0.369,9.91
,,,AAA,BOS,60,256,225,32,64,11,0,9,32,2,2,28,44,0.284,0.369,0.453,0.822,102,8,2,1,0,1,0.372,10.94,17.19,0.352,8.89
,,,AA,BOS,56,259,219,40,68,12,6,6,35,5,1,35,51,0.311,0.407,0.502,0.909,110,4,2,1,2,0,0.378,13.51,19.69,0.385,10.96
George,Springer,https://www.baseball-reference.com/register/player.fcgi?id=spring001geo,AA-AAA,HOU,135,589,492,106,149,27,4,37,108,45,8,83,161,0.303,0.411,0.6,1.01,295,3,9,2,3,1,0.488,14.09,27.33,0.417,13.82
,,,AAA,HOU,62,266,219,50,68,7,4,18,53,22,3,41,65,0.311,0.425,0.626,1.05,137,2,4,0,2,0,0.464,15.41,24.44,0.431,13.24
